date,symbol,close,volume
2025-01-02,600519,1680,52000
2025-01-02,000001,11.2,2000000
2025-01-03,600519,1692,52500
2025-01-03,000001,11.3,2010000
2025-01-06,600519,1705,53000
2025-01-06,000001,11.4,2025000
2025-01-07,600519,1718,54000
2025-01-07,000001,11.5,2030000
2025-01-08,600519,1722,54500
2025-01-08,000001,11.6,2035000
2025-01-09,600519,1710,53000
2025-01-09,000001,11.5,2020000
2025-01-10,600519,1728,55000
2025-01-10,000001,11.7,2040000
2025-01-13,600519,1736,56000
2025-01-13,000001,11.8,2050000
2025-01-14,600519,1743,56500
2025-01-14,000001,11.9,2060000
2025-01-15,600519,1750,57000
2025-01-15,000001,12.0,2070000
2025-01-16,600519,1742,56800
2025-01-16,000001,11.95,2065000
2025-01-17,600519,1758,57200
2025-01-17,000001,12.05,2072000
2025-01-20,600519,1765,57800
2025-01-20,000001,12.10,2080000
2025-01-21,600519,1771,58200
2025-01-21,000001,12.15,2085000
2025-01-22,600519,1764,58000
2025-01-22,000001,12.12,2083000
2025-01-23,600519,1778,58600
2025-01-23,000001,12.20,2092000
2025-01-24,600519,1786,59000
2025-01-24,000001,12.25,2100000
2025-01-27,600519,1791,59400
2025-01-27,000001,12.30,2108000
2025-01-28,600519,1783,59200
2025-01-28,000001,12.28,2102000
