date,symbol,close,volume
2025-01-02,AAPL,190,100000
2025-01-02,MSFT,370,90000
2025-01-03,AAPL,191,101000
2025-01-03,MSFT,371,91000
2025-01-06,AAPL,193,102000
2025-01-06,MSFT,373,92000
2025-01-07,AAPL,195,103000
2025-01-07,MSFT,376,92500
2025-01-08,AAPL,196,104000
2025-01-08,MSFT,378,93000
2025-01-09,AAPL,194,99000
2025-01-09,MSFT,376,94000
2025-01-10,AAPL,197,105000
2025-01-10,MSFT,381,95000
2025-01-13,AAPL,199,106000
2025-01-13,MSFT,384,96000
2025-01-14,AAPL,201,107000
2025-01-14,MSFT,386,96500
2025-01-15,AAPL,202,108000
2025-01-15,MSFT,389,97000
2025-01-16,AAPL,200,107500
2025-01-16,MSFT,387,97200
2025-01-17,AAPL,203,109000
2025-01-17,MSFT,390,97500
2025-01-21,AAPL,205,110000
2025-01-21,MSFT,393,98000
2025-01-22,AAPL,204,109500
2025-01-22,MSFT,392,98500
2025-01-23,AAPL,206,110500
2025-01-23,MSFT,395,99000
2025-01-24,AAPL,208,111000
2025-01-24,MSFT,398,99500
2025-01-27,AAPL,207,111200
2025-01-27,MSFT,396,99800
2025-01-28,AAPL,209,111500
2025-01-28,MSFT,399,100000
2025-01-29,AAPL,211,112000
2025-01-29,MSFT,401,100500
2025-01-30,AAPL,210,112300
2025-01-30,MSFT,400,100800
2025-01-31,AAPL,212,113000
2025-01-31,MSFT,403,101000
